tiempo_s,campo_fit_Apm,magnetizacion_fit_Apm_seno,magnetizacion_fit_Apm_ecdif
0.0,-38429.633755617404,-434.8206435399265,-392.85338776914944
1e-08,-38426.24701545793,-435.2221085192763,-392.9940531631529
2e-08,-38420.0471569851,-435.59171167402377,-393.12411030046604
3e-08,-38411.03463380888,-435.9294259623143,-393.24360490467785
4e-08,-38399.21010532662,-436.2352266754283,-393.35257914821636
5e-08,-38384.57443667483,-436.509091439589,-393.45107160232027
6e-08,-38367.128698665874,-436.7510002175996,-393.53911727751887
7e-08,-38346.87416770958,-436.96093531030925,-393.6167473762216
8e-08,-38323.81232571997,-437.1388813579078,-393.68398939743355
9e-08,-38297.944860006704,-437.2848253410498,-393.7408674562934
1e-07,-38269.2736631517,-437.3987565818069,-393.787402153034
1.1e-07,-38237.80083287066,-437.4806667444492,-393.8236106018837
1.2e-07,-38203.52867185957,-437.5305498360553,-393.84950631107796
1.3e-07,-38166.459687626244,-437.5484022069502,-393.86509897653065
1.4e-07,-38126.596592306865,-437.534222550973,-393.870394990269
1.5e-07,-38083.94230246752,-437.48801190557225,-393.8653972717747
1.6e-07,-38038.49993889084,-437.4097736517296,-393.8501052739306
1.7e-07,-37990.272826347675,-437.299513513713,-393.82451494073143
1.8e-07,-37939.26449335382,-437.1572395586578,-393.78861835302723
1.9e-07,-37885.47867191186,-436.9829621959762,-393.74240421994426
2e-07,-37828.91929723812,-436.776694176596,-393.6858577904186
2.1e-07,-37769.590507474735,-436.53845059202735,-393.61896081044387
2.2e-07,-37707.496643386905,-436.268248873259,-393.54169134195513
2.3e-07,-37642.6422480453,-435.9661087894826,-393.4540242123022
2.4e-07,-37575.03206649365,-435.6320524466464,-393.3559298449097
2.5e-07,-37504.6710454016,-435.2661042858382,-393.24737558588396
2.6e-07,-37431.56433270278,-434.8682910814964,-393.1283251656024
2.7e-07,-37355.71727721814,-434.43864193945194,-392.9987386987136
2.8e-07,-37277.135428264635,-433.97718829479805,-392.85857224191915
2.9e-07,-37195.8245352492,-433.4839639095907,-392.70777790427474
3e-07,-37111.7905472481,-432.9590048703784,-392.5463045043391
3.1e-07,-37025.03961257165,-432.4023495855618,-392.3740971910837
3.2e-07,-36935.5780783144,-431.8140387825835,-392.19109744330973
3.3e-07,-36843.41248989076,-431.19411550494874,-391.99724306964765
3.4e-07,-36748.54959055606,-430.5426251090754,-391.7924681536184
3.5e-07,-36650.99632091323,-429.85961526097617,-391.576700848668
3.6e-07,-36550.759818404986,-429.1451359327705,-391.3498656505079
3.7e-07,-36447.8474167916,-428.39923939902894,-391.1118840491709
3.8e-07,-36342.26664561435,-427.62198023294826,-390.86267367096775
3.9e-07,-36234.02522964463,-426.8134153023586,-390.60214827848785
4e-07,-36123.13108831872,-425.9736037655627,-390.3302177705981
4.1e-07,-36009.592335158435,-425.1026070670079,-390.0467877988352
4.2e-07,-35893.41727717747,-424.2004889327903,-389.75175643060675
4.3e-07,-35774.614414273594,-423.2673153659922,-389.4450186667488
4.4e-07,-35653.1924386068,-422.3031546418535,-389.1264658309087
4.5e-07,-35529.16023396334,-421.30807730277576,-388.7959849522549
4.6e-07,-35402.52687510572,-420.28215615316134,-388.4534587553147
4.7e-07,-35273.30162710878,-419.2254662540867,-388.0987639805948
4.8e-07,-35141.49394468182,-418.13808491781054,-387.7317724527206
4.9e-07,-35007.11347147678,-417.02009170211716,-387.3523522744884
5e-07,-34870.1700393828,-415.87156840449586,-386.96036700146107
5.1e-07,-34730.67366780673,-414.69259905615604,-386.55567564196883
5.2e-07,-34588.634562940184,-413.4832699158793,-386.1381311551349
5.3e-07,-34444.06311701271,-412.2436694637082,-385.70757850688886
5.4e-07,-34296.969907531515,-410.9738883944729,-385.2638598335742
5.5e-07,-34147.36569650756,-409.67401961115513,-384.80681236978137
5.6e-07,-33995.2614296681,-408.3441582180912,-384.3362683306499
5.7e-07,-33840.66823565594,-406.98440151401377,-383.852054381615
5.8e-07,-33683.597425215135,-405.5948489849331,-383.3539875192123
5.9e-07,-33524.06049036349,-404.17560229685773,-382.84188082098325
6e-07,-33362.0691035517,-402.7267652883569,-382.3155425249735
6.1e-07,-33197.63511680941,-401.2484439629625,-381.7747753130712
6.2e-07,-33030.77056087803,-399.74074648141385,-381.2193762744711
6.3e-07,-32861.48764433049,-398.203783153744,-380.649132843108
6.4e-07,-32689.798752678027,-396.63766643120886,-380.06382564364577
6.5e-07,-32515.716447464023,-395.04251089806,-379.46323100899036
6.6e-07,-32339.25346534493,-393.4184332631608,-378.8471191215208
6.7e-07,-32160.42271715836,-391.76555235144787,-378.21525401308776
6.8e-07,-31979.237286978536,-390.083989095237,-377.56739154309247
6.9e-07,-31795.710431158957,-388.37386652537515,-376.90327676766674
7e-07,-31609.855577362516,-386.6353097622394,-376.2226502470474
7.1e-07,-31421.686323579062,-384.868446006582,-375.5252456419539
7.2e-07,-31231.21643713053,-383.0734045302241,-374.81078928737304
7.3e-07,-31038.459853663637,-381.25031666659766,-374.07899751596284
7.4e-07,-30843.4306761303,-379.39931580113637,-373.3295799487648
7.5e-07,-30646.1431737558,-377.5205373615166,-372.5622391427469
7.6e-07,-30446.61178099477,-375.6141188077488,-371.7766701433644
7.7e-07,-30244.851096475108,-373.6801996221206,-370.97255722392146
7.8e-07,-30040.875881929896,-371.7189212989914,-370.14957526059567
7.9e-07,-29834.70106111733,-369.73042733443987,-369.30739249583
8e-07,-29626.341718728836,-367.7148632157654,-368.4456689440453
8.1e-07,-29415.813099285442,-365.67237641084347,-367.5640550692771
8.2e-07,-29203.13060602237,-363.6031163573363,-366.66218900776295
8.3e-07,-28988.30979976209,-361.5072344517592,-365.73970196482924
8.4e-07,-28771.36639777583,-359.38488403840375,-364.7962163856432
8.5e-07,-28552.316272633598,-357.23622039811835,-363.8313468430319
8.6e-07,-28331.175451042902,-355.0614007369474,-362.84468976557815
8.7e-07,-28107.960112676137,-352.86058417462914,-361.83583957691303
8.8e-07,-27882.68658898683,-350.6339317329537,-360.80437821376984
8.9e-07,-27655.371362014746,-348.3816063239826,-359.7498783070241
9e-07,-27426.03106317997,-346.10377273812827,-358.67190076574104
9.1e-07,-27194.682472066106,-343.8005976320983,-357.56999469417923
9.2e-07,-26961.3425151926,-341.4722495167013,-356.44369999031034
9.3e-07,-26726.028264776287,-339.1188987445185,-355.29254562224986
9.4e-07,-26488.756937482354,-336.74071749743956,-354.1160493704982
9.5e-07,-26249.54589316467,-334.3378797740649,-352.91371798847547
9.6e-07,-26008.412633595653,-331.91056137697575,-351.6850477842653
9.7e-07,-25765.374801185753,-329.4589398998708,-350.4295228111646
9.8e-07,-25520.450177692695,-326.9831947145734,-349.14661521272154
9.9e-07,-25273.65668292044,-324.4835069579072,-347.8357850503928
1e-06,-25025.012373408106,-321.96005951844415,-346.4964806807034
1.01e-06,-24774.535441108874,-319.4130370231227,-345.1281430919225
1.02e-06,-24522.24421205898,-316.8426258237404,-343.7302001883239
1.03e-06,-24268.15714503688,-314.24901398331866,-342.302067562303
1.04e-06,-24012.292830212762,-311.63239126234447,-340.8431490844695
1.05e-06,-23754.66998778836,-308.9929491048854,-339.35283687187837
1.06e-06,-23495.30746662731,-306.33088062458324,-337.83051330858746
1.07e-06,-23234.22424287613,-303.6463805905252,-336.2755494805843
1.08e-06,-22971.43941857575,-300.93964541299306,-334.68730437961665
1.09e-06,-22706.972220263997,-298.2108731290935,-333.0651255799096
1.1e-06,-22440.84199756885,-295.4602633882683,-331.40834922830845
1.11e-06,-22173.068221792753,-292.6880174376875,-329.71630240220736
1.12e-06,-21903.670484487993,-289.89433810752496,-327.98830394496565
1.13e-06,-21632.668496023307,-287.0794297961186,-326.22366036351053
1.14e-06,-21360.082084141763,-284.2434984550152,-324.4216679024778
1.15e-06,-21085.931192510096,-281.3867515739029,-322.58161267189575
1.16e-06,-20810.235879259508,-278.5093981654296,-320.7027721901225
1.17e-06,-20533.016315518147,-275.61164874991067,-318.78442015748936
1.18e-06,-20254.292783935296,-272.6937153399266,-316.82582033593997
1.19e-06,-19974.08567719737,-269.75581142481116,-314.8262287872683
1.2e-06,-19692.41549653595,-266.7981519550315,-312.7848947134868
1.21e-06,-19409.302850227752,-263.8209533264612,-310.70106278674774
1.22e-06,-19124.768452086897,-260.82443336454827,-308.57397188444827
1.23e-06,-18838.833119949344,-257.80881130837713,-306.40285551577824
1.24e-06,-18551.51777414979,-254.7743077946293,-304.1869426678211
1.25e-06,-18262.843435991024,-251.72114484143947,-301.9254627674408
1.26e-06,-17972.831226205937,-248.64954583215246,-299.6176454067386
1.27e-06,-17681.5023634122,-245.55973549897885,-297.2627174367356
1.28e-06,-17388.878162559842,-242.45193990655304,-294.85990571064644
1.29e-06,-17094.980033371743,-239.3263864353932,-292.4084400247007
1.3e-06,-16799.829478777185,-236.18330376526467,-289.90755765040797
1.31e-06,-16503.44809333863,-233.02292185844948,-287.35649791552964
1.32e-06,-16205.857561671719,-229.84547194292043,-284.75450558489194
1.33e-06,-15907.079656858788,-226.6511864954241,-282.10083290659617
1.34e-06,-15607.136238855783,-223.44029922447118,-279.3947466266057
1.35e-06,-15306.049252892939,-220.2130450532378,-276.63552284962657
1.36e-06,-15003.840727869136,-216.9696601023772,-273.8224493570951
1.37e-06,-14700.53277474017,-213.71038167274406,-270.9548278452395
1.38e-06,-14396.147584901015,-210.4354482280325,-268.0319816200404
1.39e-06,-14090.70742856223,-207.14509937732936,-265.0532536445487
1.4e-06,-13784.234653120504,-203.83957585758253,-262.01800577010636
1.41e-06,-13476.751681523672,-200.51911951598817,-258.92562232564643
1.42e-06,-13168.281010630144,-197.18397329229617,-255.77551528267873
1.43e-06,-12858.845209562898,-193.83438120103472,-252.56712850884412
1.44e-06,-12548.466918058264,-190.47058831365825,-249.29993333271938
1.45e-06,-12237.16884480946,-187.09284074061566,-245.97343333483843
1.46e-06,-11924.973765805149,-183.70138561334505,-242.58716769926588
1.47e-06,-11611.904522663031,-180.29647106619132,-239.14071829672991
1.48e-06,-11297.984020958625,-176.87834621825192,-235.6337055393471
1.49e-06,-10983.235228549454,-173.44726115515073,-232.06579238959188
1.5e-06,-10667.681173894527,-170.00346691073963,-228.43668732566584
1.51e-06,-10351.344944369557,-166.54721544873274,-224.7461503108766
1.52e-06,-10034.249684577708,-163.07875964427052,-220.9939923699872
1.53e-06,-9716.418594656292,-159.59835326541946,-217.18007771706334
1.54e-06,-9397.87492857929,-156.10625095460415,-213.30432703860112
1.55e-06,-9078.64199245603,-152.60270820997738,-209.3667204541821
1.56e-06,-8758.743142825966,-149.087981366726,-205.36730009008681
1.57e-06,-8438.201784949846,-145.5623275783169,-201.30617225107017
1.58e-06,-8117.041371097238,-142.02600479768188,-197.18351021913674
1.59e-06,-7795.285398830674,-138.47927175834508,-192.99955569046807
1.6e-06,-7472.957409286464,-134.92238795549264,-188.75461876904996
1.61e-06,-7150.080985452307,-131.35561362698695,-184.4490844997856
1.62e-06,-6826.679750441879,-127.77920973432659,-180.08341393322883
1.63e-06,-6502.77736576641,-124.19343794355268,-175.65814568059244
1.64e-06,-6178.39752960356,-120.59856060610491,-171.17389110234194
1.65e-06,-5853.563975063485,-116.99484073962606,-166.6313422168106
1.66e-06,-5528.300468452484,-113.38254200871896,-162.0312733345474
1.67e-06,-5202.630807534082,-109.76192870565504,-157.37453921890784
1.68e-06,-4876.578819787937,-106.13326573103818,-152.66207448828516
1.69e-06,-4550.168360666464,-102.49681857442269,-147.89489967007444
1.7e-06,-4223.423311849473,-98.85285329488917,-143.07411989818758
1.71e-06,-3896.367579496918,-95.20163650157876,-138.20091651460376
1.72e-06,-3569.0250924997404,-91.54343533418601,-133.27655537651987
1.73e-06,-3241.4198007291957,-87.87851744341461,-128.3023876042272
1.74e-06,-2913.575673284503,-84.207150971394,-123.27984371861784
1.75e-06,-2585.516696739224,-80.52960453206168,-118.21042858505555
1.76e-06,-2257.2668733862283,-76.84614719150937,-113.09573087519347
1.77e-06,-1928.850219481643,-73.15704844829772,-107.93741813661705
1.78e-06,-1600.2907634876553,-69.46257821373786,-102.73722429556261
1.79e-06,-1271.612544314504,-65.76300679214376,-97.49695966862242
1.8e-06,-942.8396095617114,-62.05860486105582,-92.21851109011168
1.81e-06,-613.996013758598,-58.34964345143629,-86.90382319309744
1.82e-06,-285.1058166043781,-54.636393927839784,-81.55490589639349
