tiempo_s,campo_fit_Apm,magnetizacion_fit_Apm_seno,magnetizacion_fit_Apm_ecdif
1.83e-06,43.8069187921751,-50.919127968558826,-76.1738314642702
1.84e-06,372.71812767326173,-47.19811754574698,-70.76272638415654
1.85e-06,701.6037453928031,-43.473634905519525,-65.32377755346444
1.86e-06,1030.4397091770527,-39.745952548035355,-59.85921035841923
1.87e-06,1359.2019598852064,-36.015343207558956,-54.371305340884554
1.88e-06,1687.866443769612,-32.28207983250659,-48.86237529642398
1.89e-06,2016.4091142357095,-28.546435565475562,-43.33477335653269
1.9e-06,2344.8059336013644,-24.808683723260092,-37.79088517443322
1.91e-06,2673.0328748555507,-21.069097776854505,-32.23311553638436
1.92e-06,3001.0659234163263,-17.327951331444293,-26.66390428799189
1.93e-06,3328.88107888783,-13.585518106388069,-21.085696373303236
1.94e-06,3656.4543568162057,-9.842071915191713,-15.500948466442155
1.95e-06,3983.7617904445133,-6.097886645473746,-9.912128321179914
1.96e-06,4310.779432466179,-2.353236238927246,-4.321703042273116
1.97e-06,4637.483356777113,1.3916053287232737,1.2678629051473398
1.98e-06,4963.849660226231,5.136364067766885,6.854112246591075
1.99e-06,5289.854464364332,8.880765994552776,12.434601953422646
2e-06,5615.473917191172,12.624537151536353,18.00690699747234
2.01e-06,5940.684194900562,16.367403627322915,23.568625435038843
2.02e-06,6265.46150362344,20.10909157670846,29.11738217726231
2.03e-06,6589.782081168707,23.84932724071509,34.650834313490535
2.04e-06,6913.622198761828,27.587836966621012,40.16667454109571
2.05e-06,7236.958162780905,31.32434722798185,45.66263604272806
2.06e-06,7559.766316490233,35.05858464464338,51.13649503052882
2.07e-06,7882.023041771071,38.7902760027425,56.5860761149023
2.08e-06,8203.704760849749,42.51914827469797,62.00925640953858
2.09e-06,8524.78793802266,46.24492863918553,67.40396810292499
2.1e-06,8845.249081378259,49.96734450109905,72.76819756014935
2.11e-06,9165.064744515847,53.68612351149492,78.09999256844345
2.12e-06,9484.211528260957,57.40099358751763,83.3974637704902
2.13e-06,9802.666082377451,61.111682932307765,88.65878692136809
2.14e-06,10120.405107275843,64.81792005488705,93.88220531211385
2.15e-06,10437.405355718058,68.51943379002238,99.0660308418073
2.16e-06,10753.643634518221,72.2159533180646,104.20864579908279
2.17e-06,11069.096806239699,75.90720818476419,109.30850438937277
2.18e-06,11383.74179088785,79.59292832105807,114.36413378942574
2.19e-06,11697.555567598703,83.27284406282939,119.37413481467253
2.2e-06,12010.51517632323,86.94668617063708,124.33718257543019
2.21e-06,12322.597719507266,90.61418584941522,129.25202649436113
2.22e-06,12633.78036376673,94.27507476813857,134.11749056818797
2.23e-06,12944.040341558288,97.92908507945556,138.93247321570408
2.24e-06,13253.354952845093,101.57594943928501,143.69594702390702
2.25e-06,13561.701566757603,105.21540102637584,148.4069594209622
2.26e-06,13869.057623249417,108.84717356182956,153.06463068323944
2.27e-06,14175.400634747819,112.47100132858215,157.6681532324111
2.28e-06,14480.708187799119,116.0866191908452,162.21679101227835
2.29e-06,14784.957944708436,119.69376261350402,166.70987896661654
2.3e-06,15088.127645174143,123.29216768147298,171.14682056139333
2.31e-06,15390.195107916452,126.88157111900439,175.5270865531425
2.32e-06,15691.138232300325,130.46171030895084,179.85021439051275
2.33e-06,15990.934999952467,134.03232331197972,184.11580658490442
2.34e-06,16289.563476372223,137.59314888573732,188.32352777713515
2.35e-06,16587.00181253653,141.14392650396366,192.47310325204694
2.36e-06,16883.228246498365,144.6843963755523,196.56431866374555
2.37e-06,17178.221104979075,148.21429946355954,200.59701697438032
2.38e-06,17471.95880495391,151.73337750415465,204.57109589816457
2.39e-06,17764.419855231357,155.24137302551793,208.48650624959703
2.4e-06,18055.582858025362,158.73802936667659,212.34325128327094
2.41e-06,18345.426510520996,162.22309069628466,216.14138301784982
2.42e-06,18633.929606432986,165.69630203133977,219.88100016509736
2.43e-06,18921.071037557318,169.1574092558393,223.56224649727721
2.44e-06,19206.82979531557,172.60615913937255,227.18530983481332
2.45e-06,19491.18497229207,176.04229935564888,230.75041818692432
2.46e-06,19774.11576376347,179.46557850095786,234.25783802400446
2.47e-06,20055.601469221,182.875746112564,237.7078729156812
2.48e-06,20335.621493884966,186.27255268703124,241.10086170024232
2.49e-06,20614.155350211597,189.65574969847864,244.43717536541243
2.5e-06,20891.18265939196,193.0250896167625,247.71721538704452
2.51e-06,21166.683152843016,196.38032592558739,250.94141256987842
2.52e-06,21440.636673690493,199.72121314054226,254.11022465896775
2.53e-06,21713.023178243766,203.0475068270619,257.22413409328897
2.54e-06,21983.82273746221,206.35896361830947,260.28364638477336
2.55e-06,22253.01553841343,209.65534123298397,263.2892890583428
2.56e-06,22520.58188572276,212.9363984930451,266.24160921064095
2.57e-06,22786.502203014308,216.20189534135983,269.14117184106533
2.58e-06,23050.757034343296,219.45159285926638,271.98855840440444
2.59e-06,23313.327045619466,222.68525328405372,274.78436563023723
2.6e-06,23574.193026021705,225.90264002635774,277.52920348270356
2.61e-06,23833.33588940356,229.1035176874712,280.2236938290599
2.62e-06,24090.73667568974,232.28765207656727,282.8684691945244
2.63e-06,24346.376552263206,235.45481022783247,285.4641715221542
2.64e-06,24600.236815343178,238.60476041751343,288.01145064361674
2.65e-06,24852.298891353457,241.73727218086856,290.510963146777
2.66e-06,25102.54433828148,244.8521163290323,292.9633713067087
2.67e-06,25350.954847027533,247.94906496578187,295.3693419436371
2.68e-06,25597.512242744393,251.02789150421233,297.72954532684406
2.69e-06,25842.198486166977,254.08837068331343,300.0446542058565
2.7e-06,26084.995674932343,257.1302785844524,302.3153428393757
2.71e-06,26325.886044889332,260.15339264775525,304.542286134186
2.72e-06,26564.851971398424,263.15749168839164,306.72615881390567
2.73e-06,26801.87597062112,266.14235591275667,308.8676346077695
2.74e-06,27036.9407007992,269.10776693455233,310.9673854106859
2.75e-06,27270.028963523553,272.0535077907664,313.02608071946867
2.76e-06,27501.123704992402,274.9793629575452,315.0443869668835
2.77e-06,27730.208017259112,277.8851183659631,317.02296683718924
2.78e-06,27957.265139469222,280.7705614176843,318.96247862012507
2.79e-06,28182.278459086778,283.6354810005185,320.86357587110376
2.8e-06,28405.23151310971,286.47966750386524,322.7269068807047
2.81e-06,28626.107989274453,289.3029128340519,324.5531140658996
2.82e-06,28844.891727249287,292.1050104295563,326.3428336060647
2.83e-06,29061.566719816834,294.8857552761223,328.0966951900991
2.84e-06,29276.117114045126,297.6449439217579,329.81532162237784
2.85e-06,29488.527212447534,300.38237449162136,331.49932829757023
2.86e-06,29698.781474131236,303.0978467027909,333.1493230940786
2.87e-06,29906.864515934263,305.7911618789188,334.76590615459213
2.88e-06,30112.761113551005,308.4621229647668,336.34966959951515
2.89e-06,30316.456202646124,311.1105345406247,337.90119711887286
2.9e-06,30517.93487995667,313.7362028366067,339.4210640432391
2.91e-06,30717.182404382504,316.33893574682963,340.90983715568626
2.92e-06,30914.184198064824,318.91854284346755,342.368074446731
2.93e-06,31108.92584745276,321.4748353906851,343.79632498696407
2.94e-06,31301.39310435789,324.0076263584454,345.19512884988967
2.95e-06,31491.571886996764,326.5167304361948,346.5650171833283
2.96e-06,31679.448281021145,329.0019640464205,347.90651187565004
2.97e-06,31865.008540536044,331.46314535808193,349.22012560476304
2.98e-06,32048.239089105493,333.90009429991505,350.50636198842017
2.99e-06,32229.126520745784,336.31263257360615,351.76571549278066
3e-06,32407.657600906343,338.7005836668378,352.99867129435535
3.01e-06,32583.819267438037,341.06377286620267,354.20570516453034
3.02e-06,32757.598631548874,343.40202726998706,355.38728370746526
3.03e-06,32928.98297874695,345.7151758008203,356.54386423391975
3.04e-06,33097.95976977078,348.0030492181928,357.6758949125025
3.05e-06,33264.51664150663,350.26548013083664,358.7838152199055
3.06e-06,33428.641407893156,352.5023030089747,359.868055263016
3.07e-06,33590.32206081292,354.7133541964299,360.9290359993951
3.08e-06,33749.546770971036,356.8984719226005,361.96716938159983
3.09e-06,33906.30388876052,359.05749631429427,362.9828590947558
3.1e-06,34060.581945114805,361.1902694074273,363.9764998033024
3.11e-06,34212.369652346715,363.2966351585801,364.9484773263472
3.12e-06,34361.65590497443,365.37643945641537,365.89916879383054
3.13e-06,34508.42978053394,367.4295301329524,366.82894316126834
3.14e-06,34652.680540378235,369.4557569747015,367.73816091693294
3.15e-06,34794.39763046297,371.45497173365357,368.6271740933739
3.16e-06,34933.57068211865,373.4270281381271,369.4963264406515
3.17e-06,35070.18951280925,375.3717819034697,370.3459538033696
3.18e-06,35204.244126877195,377.28909074261435,371.17638410966845
3.19e-06,35335.72471627476,379.17881437649095,371.98793727215246
3.2e-06,35464.62166128155,381.0408145442882,372.78092539645166
3.21e-06,35590.925531208464,382.8749550135709,373.55565301927834
3.22e-06,35714.627085087544,384.6811015902459,374.3124172590981
3.23e-06,35835.71727234822,386.4591221283816,375.05150766648325
3.24e-06,35954.18723347939,388.2088865398756,375.7732064466779
3.25e-06,36070.028300677695,389.930266803973,376.4777885653097
3.26e-06,36183.23199848162,391.62313697663245,377.1655219285141
3.27e-06,36293.79004439167,393.2873731997412,377.8366677106832
3.28e-06,36401.69434947631,394.9228537101769,378.4914801011318
3.29e-06,36506.93701896382,396.52945884871684,379.1302065318239
3.3e-06,36609.51035281988,398.10707106879204,379.7530878077888
3.31e-06,36709.40684631096,399.65557494508784,380.3603582175007
3.32e-06,36806.61919055338,401.17485718198895,380.95224561438204
3.33e-06,36901.140273048106,402.664806621869,381.5289715643027
3.34e-06,36992.963178201084,404.1253142532226,382.0907514558847
3.35e-06,37082.081187829244,405.5562732186417,382.6377946069523
3.36e-06,37168.48778165202,406.9575788226335,383.17030437547334
3.37e-06,37252.1766377684,408.3291285392807,383.6884781276594
3.38e-06,37333.14163311951,409.67082201974233,384.1925074247245
3.39e-06,37411.37684393652,410.98256109959647,384.6825782191154
3.4e-06,37486.87654617414,412.26424980602144,385.15887090199675
3.41e-06,37559.63521592935,413.51579436481836,385.6215604103367
3.42e-06,37629.64752984563,414.7371032072719,386.0708162136589
3.43e-06,37696.90836550234,415.9280869768498,386.5068023182189
3.44e-06,37761.412801789586,417.0886585357403,386.9296776573483
3.45e-06,37823.156119268235,418.2187329712283,387.33959606790336
3.46e-06,37882.133800515214,419.3182276019074,387.73670638674656
3.47e-06,37938.341530454025,420.38706198372904,388.12115247483763
3.48e-06,37991.77519667047,421.4251579158891,388.49307300230697
3.49e-06,38042.43088971349,422.4324394465482,388.852602000665
3.5e-06,38090.30490338128,423.40883287838966,389.19986882906824
3.51e-06,38135.393734992336,424.354266774011,389.53499823206573
3.52e-06,38177.69408564186,425.26867196115103,389.85811040653954
3.53e-06,38217.202860443,426.15198153775015,390.169320722924
3.54e-06,38253.91716875338,427.00413087684615,390.46874016661826
3.55e-06,38287.83432438653,427.82505763130155,390.7564754420627
3.56e-06,38318.95184580846,428.61470173836625,391.0326289676301
3.57e-06,38347.26745631919,429.37300542407115,391.297298952669
3.58e-06,38372.77908421935,430.09991320745576,391.55057918269944
3.59e-06,38395.48486296173,430.7953719046269,391.7925591788932
3.6e-06,38415.38313128788,431.4593306326504,392.0233245359847
3.61e-06,38432.47243334961,432.0917408132735,392.24295683418455
3.62e-06,38446.75151881554,432.69255617647934,392.4515337050261
3.63e-06,38458.21934296256,433.2617327638723,392.6491287368831
3.64e-06,38466.8750667523,433.79922893189377,392.8358113095646
3.65e-06,38472.71805689247,434.3050053548697,393.01164715073895
3.66e-06,38475.74788588323,434.77902502788703,393.17669819561434
3.67e-06,38475.964332048454,435.2212532695019,393.3310226303748
3.68e-06,38473.36737955194,435.6316577242766,393.4746748820129
3.69e-06,38467.957218398624,436.0102083651469,393.6077052997326
3.7e-06,38459.73424442057,436.35687749561924,393.73016069368873
3.71e-06,38448.69905924812,436.6716397517969,393.842084274103
3.72e-06,38434.852470265825,436.9544721042357,393.9435156469162
3.73e-06,38418.19549055336,437.2053538596292,394.0344908420265
3.74e-06,38398.72933881141,437.42426666232245,394.1150419837184
3.75e-06,38376.45543927257,437.61119449565507,394.1851976393246
3.76e-06,38351.37542159702,437.7661236831331,394.244982934072
3.77e-06,38323.4911207534,437.8890428894297,394.2944194783879
3.78e-06,38292.80457688451,437.9799431212143,394.3335253979303
3.79e-06,38259.318035158016,438.03881772781097,394.36231532909017
3.8e-06,38223.03394560225,438.0656624016845,394.38079939075135
3.81e-06,38183.954962926895,438.06047517875606,394.3889854795373
3.82e-06,38142.08394632879,438.0232564385465,394.3868774409335
3.83e-06,38097.42395928273,437.9540089041488,394.37447569937916
3.84e-06,38049.97826931732,437.8527376420289,394.3517770859213
3.85e-06,37999.75034777589,437.7194500616548,394.3187745352253
3.86e-06,37946.743869562575,437.5541559149545,394.2754578166704
3.87e-06,37890.962712873385,437.3568672956026,394.2218132521526
3.88e-06,37832.410958912486,437.1275986381356,394.15782369151964
3.89e-06,37771.09289159358,436.8663667168955,394.0834685125709
3.9e-06,37707.012997226506,436.57319064480254,393.9987233100692
3.91e-06,37640.175964188966,436.248091871957,393.9035593715521
3.92e-06,37570.586682583526,435.89109418406974,393.7979449663345
3.93e-06,37498.250243879826,435.50222370072197,393.68184484300895
3.94e-06,37423.17194054205,435.08150887345414,393.5552201878546
3.95e-06,37345.35726564176,434.62898048368424,393.4180286248372
3.96e-06,37264.811912455916,434.14467164045595,393.27022380076846
3.97e-06,37181.54177405039,433.6286177780159,393.1117547154344
3.98e-06,37095.55294284878,433.0808566532214,392.94256740152616
3.99e-06,37006.85171018666,432.50142834277773,392.7626042633112
4e-06,36915.4445658513,431.8903752403062,392.57180402462524
4.01e-06,36821.33819760681,431.24774205324246,392.37010172887153
4.02e-06,36724.53949070485,430.573575799565,392.1574280222715
4.03e-06,36625.05552738085,429.8679258043558,391.93370804605087
4.04e-06,36522.89358633592,429.1308436961911,391.6988642719941
4.05e-06,36418.0611422042,428.3623834033639,391.45281537537716
4.06e-06,36310.56586500604,427.5626011499386,391.19547615081007
4.07e-06,36200.415619586835,426.7315554516372,390.926757512237
4.08e-06,36087.61846504156,425.8693071115584,390.64656541230164
4.09e-06,35972.18265412515,424.97591921572814,390.3547992451431
4.1e-06,35854.116632648715,424.0514571284849,390.0513560224623
4.11e-06,35733.42903886155,423.0959884876968,389.7361286977629
4.12e-06,35610.12870281917,422.1095831998128,389.4090060476373
4.13e-06,35484.22464573724,421.0923134347487,389.0698726717659
4.14e-06,35355.726079331565,420.0442536206059,388.7186075459079
4.15e-06,35224.64240514406,418.96548043822673,388.3550819787611
4.16e-06,35090.98321385497,417.85607281558373,387.9791650737394
4.17e-06,34954.758284581105,416.71611192200487,387.5907215165861
4.18e-06,34815.977584160406,415.5456811622351,387.1896114268039
4.19e-06,34674.65126642268,414.3448661703337,386.77569035765663
4.2e-06,34530.78967144676,413.1137548034096,386.3488077286676
4.21e-06,34384.40332480387,411.85243713519225,385.90880437498754
4.22e-06,34235.50293678768,410.5610054494426,385.45551821053147
4.23e-06,34084.09940163055,409.23955423320035,384.9887820992341
4.24e-06,33930.20379670653,407.8881801698712,384.5084237106765
4.25e-06,33773.827381720905,406.50698213215304,384.01426403309097
4.26e-06,33614.98159788629,405.09606117480183,383.5061173236728
4.27e-06,33453.67806708567,403.65552052723825,382.9837934580183
4.28e-06,33289.928591021955,402.1854655859945,382.44709676695607
4.29e-06,33123.74515035465,400.6860039070035,381.8958259743426
4.3e-06,32955.13990382316,399.1572451977293,381.3297706125616
