# 135kHz_100dA_100Mss_NEdd080
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13423.922310258795
# Fase_campo_=_4.719851191606228
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.383764e+00	-1.680746e+00
4.083485e+05	1.078744e+00	1.130061e+00
6.805808e+05	4.783758e-01	-2.243451e+00
9.528131e+05	2.475837e-01	6.192872e-01
1.225045e+06	1.476643e-01	-2.246458e+00
1.497278e+06	1.263756e-01	7.888244e-01
1.769510e+06	7.270540e-02	-2.660183e+00
2.041742e+06	3.482233e-02	-3.906839e-02
2.313975e+06	3.400970e-02	-2.763942e+00
2.586207e+06	5.966377e-03	-5.234013e-01
