# 135kHz_100dA_100Mss_NEdd056
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13424.46852939367
# Fase_campo_=_4.71497654184742
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.206616e+00	-1.686855e+00
4.083485e+05	1.059720e+00	1.084164e+00
6.805808e+05	4.474369e-01	-2.355177e+00
9.528131e+05	2.229286e-01	4.470582e-01
1.225045e+06	1.172699e-01	-2.471030e+00
1.497278e+06	1.310821e-01	4.477339e-01
1.769510e+06	5.412424e-02	-3.030568e+00
2.041742e+06	3.347352e-02	-1.846159e-01
2.313975e+06	3.498959e-02	-3.019533e+00
2.586207e+06	1.196735e-02	-9.835310e-01
