# 135kHz_100dA_100Mss_NEdd029
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13469.88479458179
# Fase_campo_=_4.7163954242301855
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.570308e+00	-1.649138e+00
4.083485e+05	6.862161e-01	1.239191e+00
6.805808e+05	2.213675e-01	-2.115195e+00
9.528131e+05	1.168557e-01	5.007687e-01
1.225045e+06	5.237780e-02	-2.320405e+00
1.497278e+06	7.714138e-02	8.944610e-02
1.769510e+06	6.364779e-03	6.805343e-01
2.041742e+06	8.170430e-03	-4.164402e-01
2.313975e+06	3.114678e-03	-1.592434e+00
2.586207e+06	9.037192e-03	-1.098324e+00
