# 135kHz_100dA_100Mss_NEdd020
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13408.667113457494
# Fase_campo_=_4.7146883554513845
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.471705e+00	-1.646245e+00
4.083485e+05	6.705829e-01	1.228908e+00
6.805808e+05	2.264476e-01	-2.090170e+00
9.528131e+05	1.036772e-01	4.533466e-01
1.225045e+06	5.108868e-02	-2.459373e+00
1.497278e+06	3.855198e-02	-5.777057e-01
1.769510e+06	1.472557e-02	2.496704e+00
2.041742e+06	3.193533e-03	-3.289773e-01
2.313975e+06	1.604757e-02	2.749187e+00
2.586207e+06	9.466293e-03	1.760619e+00
