# 135kHz_100dA_100Mss_NEdd075
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13499.033978280859
# Fase_campo_=_4.715180810219724
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.320205e+00	-1.691916e+00
4.083485e+05	1.050780e+00	1.123092e+00
6.805808e+05	4.577632e-01	-2.314500e+00
9.528131e+05	2.245502e-01	5.567232e-01
1.225045e+06	1.444149e-01	-2.313789e+00
1.497278e+06	1.205343e-01	6.731354e-01
1.769510e+06	6.315863e-02	-2.704360e+00
2.041742e+06	6.154078e-02	-1.657189e-02
2.313975e+06	1.730735e-02	-2.485409e+00
2.586207e+06	2.186765e-03	1.966006e-01
