# 135kHz_100dA_100Mss_NEdd007
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13442.9462876186
# Fase_campo_=_4.714114017157752
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.358334e+00	-1.657750e+00
4.083485e+05	6.755521e-01	1.174827e+00
6.805808e+05	2.017135e-01	-2.231251e+00
9.528131e+05	8.844184e-02	2.643777e-01
1.225045e+06	4.413792e-02	-2.726012e+00
1.497278e+06	6.436590e-02	1.987257e-01
1.769510e+06	1.029538e-02	1.301431e+00
2.041742e+06	1.383420e-02	-1.918437e+00
2.313975e+06	5.015896e-03	-1.101035e+00
2.586207e+06	1.442131e-02	-9.270666e-01
