# 135kHz_100dA_100Mss_NEdd046
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13483.021010718028
# Fase_campo_=_4.717782883081169
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.092036e+00	-1.680550e+00
4.083485e+05	1.027065e+00	1.112042e+00
6.805808e+05	4.310597e-01	-2.363817e+00
9.528131e+05	2.207806e-01	3.856139e-01
1.225045e+06	8.927911e-02	-2.388108e+00
1.497278e+06	1.081274e-01	1.910783e-01
1.769510e+06	3.546951e-02	2.958803e+00
2.041742e+06	4.634743e-02	1.227857e-01
2.313975e+06	1.979085e-02	-2.837678e+00
2.586207e+06	1.603324e-02	-9.004570e-01
