# 135kHz_100dA_100Mss_NEdd042
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13506.129824954824
# Fase_campo_=_4.718916271977596
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.033973e+00	-1.683670e+00
4.083485e+05	1.063889e+00	1.122183e+00
6.805808e+05	4.606213e-01	-2.377508e+00
9.528131e+05	2.322742e-01	3.578842e-01
1.225045e+06	9.764684e-02	-2.745518e+00
1.497278e+06	8.304672e-02	4.119134e-01
1.769510e+06	2.752544e-02	-3.032002e+00
2.041742e+06	4.038307e-02	-1.678776e-01
2.313975e+06	1.705457e-02	2.823879e+00
2.586207e+06	2.250681e-02	-1.299037e+00
