# 135kHz_100dA_100Mss_NEdd039
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13408.87330113758
# Fase_campo_=_4.716188309088162
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.857506e+00	-1.689499e+00
4.083485e+05	1.050215e+00	1.120312e+00
6.805808e+05	4.652126e-01	-2.389238e+00
9.528131e+05	2.334144e-01	2.775111e-01
1.225045e+06	1.031249e-01	-2.921682e+00
1.497278e+06	8.069981e-02	2.100285e-01
1.769510e+06	3.281742e-02	-3.098512e+00
2.041742e+06	1.020938e-02	-8.443555e-01
2.313975e+06	2.679655e-02	-3.101207e+00
2.586207e+06	2.701983e-02	-1.132059e+00
