# 135kHz_100dA_100Mss_NEdd034
# Frecuencia_campo_Hz_=_136085.28010886823
# Magnitud_campo_Hz_=_13519.561272232419
# Fase_campo_=_4.716189339642721
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.360853e+05	2.799671e+00	-1.669647e+00
4.082558e+05	9.326696e-01	1.165480e+00
6.804264e+05	4.066599e-01	-2.279258e+00
9.525970e+05	2.307723e-01	3.573200e-01
1.224768e+06	1.008679e-01	-2.956708e+00
1.496938e+06	8.934055e-02	3.727202e-01
1.769109e+06	3.066832e-02	2.531591e+00
2.041279e+06	2.512670e-02	-8.048326e-01
2.313450e+06	1.909901e-02	-3.101105e+00
2.585620e+06	8.879635e-03	-1.164636e+00
