# 135kHz_100dA_100Mss_NEdd064
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13454.650543599491
# Fase_campo_=_4.716606470149546
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.205376e+00	-1.686933e+00
4.083485e+05	1.071831e+00	1.124438e+00
6.805808e+05	4.581437e-01	-2.324535e+00
9.528131e+05	2.291858e-01	5.358882e-01
1.225045e+06	1.235039e-01	-2.339941e+00
1.497278e+06	1.360658e-01	4.126828e-01
1.769510e+06	6.186825e-02	-2.792122e+00
2.041742e+06	3.561588e-02	1.573483e-01
2.313975e+06	2.824228e-02	2.884644e+00
2.586207e+06	1.868372e-02	2.273546e-01
