# 135kHz_100dA_100Mss_NEdd055
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13423.314058850141
# Fase_campo_=_4.719706433447638
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.179838e+00	-1.683197e+00
4.083485e+05	1.074306e+00	1.113903e+00
6.805808e+05	4.483186e-01	-2.331285e+00
9.528131e+05	2.136050e-01	4.991380e-01
1.225045e+06	1.172429e-01	-2.309713e+00
1.497278e+06	1.280543e-01	2.705009e-01
1.769510e+06	5.659843e-02	-2.804037e+00
2.041742e+06	2.679188e-02	1.222755e-01
2.313975e+06	3.685513e-02	-3.118863e+00
2.586207e+06	1.490260e-02	-7.162777e-02
