# 135kHz_100dA_100Mss_NEdd050
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13473.447604559862
# Fase_campo_=_4.7157513107396225
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.125239e+00	-1.689464e+00
4.083485e+05	1.039059e+00	1.113768e+00
6.805808e+05	4.380179e-01	-2.380623e+00
9.528131e+05	2.059061e-01	4.533157e-01
1.225045e+06	9.921502e-02	-2.495147e+00
1.497278e+06	1.241223e-01	5.295937e-01
1.769510e+06	3.509849e-02	-2.816136e+00
2.041742e+06	3.299620e-02	-1.738432e-01
2.313975e+06	2.210847e-02	-2.841569e+00
2.586207e+06	2.458815e-02	-8.416476e-01
