# 135kHz_100dA_100Mss_NEdd083
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13422.487606180235
# Fase_campo_=_4.716393222430776
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.310565e+00	-1.688756e+00
4.083485e+05	1.085309e+00	1.117198e+00
6.805808e+05	4.572294e-01	-2.290719e+00
9.528131e+05	2.311528e-01	5.997930e-01
1.225045e+06	1.497591e-01	-2.270953e+00
1.497278e+06	1.243508e-01	5.597396e-01
1.769510e+06	6.199368e-02	-2.796775e+00
2.041742e+06	3.424110e-02	1.894728e-01
2.313975e+06	2.236345e-02	3.057851e+00
2.586207e+06	1.347227e-02	-3.577764e-01
