# 135kHz_100dA_100Mss_NEdd044
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13471.345698430172
# Fase_campo_=_4.716042488927936
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.017257e+00	-1.684161e+00
4.083485e+05	1.042674e+00	1.101823e+00
6.805808e+05	4.413664e-01	-2.395963e+00
9.528131e+05	2.215981e-01	3.907481e-01
1.225045e+06	1.071659e-01	-2.745420e+00
1.497278e+06	8.191837e-02	7.056680e-01
1.769510e+06	3.954640e-02	-2.697067e+00
2.041742e+06	3.734905e-02	-3.836337e-01
2.313975e+06	1.255516e-02	-2.764601e+00
2.586207e+06	1.914678e-02	-5.918479e-01
