# 135kHz_100dA_100Mss_NEdd069
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13473.417431897406
# Fase_campo_=_4.716890388266015
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.259746e+00	-1.684402e+00
4.083485e+05	1.039072e+00	1.107103e+00
6.805808e+05	4.465902e-01	-2.291652e+00
9.528131e+05	2.292612e-01	5.206614e-01
1.225045e+06	1.217249e-01	-2.299643e+00
1.497278e+06	1.277552e-01	4.587510e-01
1.769510e+06	5.609376e-02	-2.721700e+00
2.041742e+06	5.357888e-02	4.067370e-02
2.313975e+06	1.682320e-02	3.099989e+00
2.586207e+06	5.192173e-03	-4.490654e-01
