# 135kHz_100dA_100Mss_NEdd043
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13463.454805676769
# Fase_campo_=_4.718531945351778
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.016888e+00	-1.683349e+00
4.083485e+05	1.035369e+00	1.111909e+00
6.805808e+05	4.370716e-01	-2.377857e+00
9.528131e+05	2.137646e-01	3.869921e-01
1.225045e+06	8.749438e-02	-2.819126e+00
1.497278e+06	9.338196e-02	7.029528e-01
1.769510e+06	3.381740e-02	-2.824089e+00
2.041742e+06	2.794702e-02	-1.486963e-01
2.313975e+06	1.471873e-02	-2.922816e+00
2.586207e+06	2.249537e-02	-4.151821e-01
