# 135kHz_100dA_100Mss_NEdd054
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13456.418367743272
# Fase_campo_=_4.713674681489116
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.189305e+00	-1.686436e+00
4.083485e+05	1.050453e+00	1.092772e+00
6.805808e+05	4.440446e-01	-2.377374e+00
9.528131e+05	2.176908e-01	4.234730e-01
1.225045e+06	1.026297e-01	-2.557549e+00
1.497278e+06	1.134903e-01	3.939864e-01
1.769510e+06	5.024229e-02	-2.897776e+00
2.041742e+06	4.757658e-02	-2.169806e-01
2.313975e+06	2.402025e-02	2.967881e+00
2.586207e+06	1.889671e-02	-1.420369e-01
