# 135kHz_100dA_100Mss_NEdd060
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13460.262301180395
# Fase_campo_=_4.717760430347397
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.246344e+00	-1.683215e+00
4.083485e+05	1.060963e+00	1.121563e+00
6.805808e+05	4.514672e-01	-2.309724e+00
9.528131e+05	2.193193e-01	4.717848e-01
1.225045e+06	1.120455e-01	-2.270364e+00
1.497278e+06	1.400780e-01	4.540959e-01
1.769510e+06	5.507940e-02	-2.743750e+00
2.041742e+06	4.525518e-02	9.763434e-02
2.313975e+06	2.458075e-02	2.856083e+00
2.586207e+06	7.399099e-03	-8.605273e-01
