# 135kHz_100dA_100Mss_NEdd053
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13524.162901124788
# Fase_campo_=_4.717242749111947
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.171866e+00	-1.685229e+00
4.083485e+05	1.067401e+00	1.117132e+00
6.805808e+05	4.473966e-01	-2.351545e+00
9.528131e+05	2.332409e-01	5.121194e-01
1.225045e+06	1.022800e-01	-2.490732e+00
1.497278e+06	1.072816e-01	6.709760e-01
1.769510e+06	5.322455e-02	-2.811068e+00
2.041742e+06	3.821563e-02	-9.012922e-02
2.313975e+06	2.354060e-02	-2.869450e+00
2.586207e+06	1.944971e-02	-6.404728e-01
