# 135kHz_100dA_100Mss_NEdd079
# Frecuencia_campo_Hz_=_136147.03880190605
# Magnitud_campo_Hz_=_13416.650394773907
# Fase_campo_=_4.716653628872776
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361470e+05	3.351289e+00	-1.684467e+00
4.084411e+05	1.064110e+00	1.118620e+00
6.807352e+05	4.744931e-01	-2.290067e+00
9.530293e+05	2.287078e-01	6.372304e-01
1.225323e+06	1.499989e-01	-2.301654e+00
1.497617e+06	1.173145e-01	9.300173e-01
1.769912e+06	6.977676e-02	-2.632404e+00
2.042206e+06	5.088833e-02	2.196160e-01
2.314500e+06	1.856482e-02	-2.835352e+00
2.586794e+06	2.268726e-02	1.556050e-01
