# 135kHz_100dA_100Mss_NEdd048
# Frecuencia_campo_Hz_=_136085.28010886823
# Magnitud_campo_Hz_=_13436.868356424098
# Fase_campo_=_4.715760526485136
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.360853e+05	3.094848e+00	-1.692658e+00
4.082558e+05	1.032454e+00	1.099738e+00
6.804264e+05	4.303051e-01	-2.360377e+00
9.525970e+05	2.047402e-01	3.764269e-01
1.224768e+06	1.066140e-01	-2.483695e+00
1.496938e+06	9.007457e-02	4.736788e-01
1.769109e+06	3.531766e-02	-2.706713e+00
2.041279e+06	3.206630e-02	2.420870e-01
2.313450e+06	1.316309e-02	-2.896153e+00
2.585620e+06	1.504295e-02	-9.526285e-01
