# 135kHz_100dA_100Mss_NEdd065
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13454.951846293368
# Fase_campo_=_4.71350459630614
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.257191e+00	-1.690676e+00
4.083485e+05	1.034330e+00	1.114035e+00
6.805808e+05	4.504247e-01	-2.325338e+00
9.528131e+05	2.307866e-01	4.669388e-01
1.225045e+06	1.181931e-01	-2.299692e+00
1.497278e+06	1.415155e-01	3.969611e-01
1.769510e+06	6.011639e-02	-2.720866e+00
2.041742e+06	3.210217e-02	1.091629e-01
2.313975e+06	3.071838e-02	-2.809865e+00
2.586207e+06	1.134116e-02	-1.090767e-01
