# 135kHz_100dA_100Mss_NEdd040
# Frecuencia_campo_Hz_=_136085.28010886823
# Magnitud_campo_Hz_=_13509.524192935341
# Fase_campo_=_4.715721214443741
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.360853e+05	2.930575e+00	-1.686880e+00
4.082558e+05	1.056745e+00	1.122918e+00
6.804264e+05	4.586192e-01	-2.392419e+00
9.525970e+05	2.306629e-01	3.523864e-01
1.224768e+06	1.086763e-01	-2.972198e+00
1.496938e+06	7.814612e-02	6.973816e-01
1.769109e+06	2.372019e-02	-2.811929e+00
2.041279e+06	3.777009e-02	-7.201288e-01
2.313450e+06	2.388906e-02	-2.109563e+00
2.585620e+06	2.744332e-02	-1.032766e+00
