# 135kHz_100dA_100Mss_NEdd023
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13424.138889713397
# Fase_campo_=_4.71542587788503
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.485703e+00	-1.644076e+00
4.083485e+05	6.505252e-01	1.226800e+00
6.805808e+05	2.151212e-01	-2.074887e+00
9.528131e+05	1.052099e-01	4.508540e-01
1.225045e+06	4.635649e-02	-2.478369e+00
1.497278e+06	7.969827e-02	-1.180072e-01
1.769510e+06	6.032753e-03	2.795531e+00
2.041742e+06	1.348163e-02	-2.750551e+00
2.313975e+06	1.236834e-02	-2.410944e+00
2.586207e+06	1.923116e-02	-1.151259e+00
