# 135kHz_100dA_100Mss_NEdd028
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13449.281423394814
# Fase_campo_=_4.717881803285168
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.529944e+00	-1.648565e+00
4.083485e+05	6.599757e-01	1.242588e+00
6.805808e+05	2.204373e-01	-2.103637e+00
9.528131e+05	1.058911e-01	4.582387e-01
1.225045e+06	4.498348e-02	-2.503621e+00
1.497278e+06	9.354290e-02	4.504646e-01
1.769510e+06	8.494603e-03	2.418594e+00
2.041742e+06	9.132070e-03	-1.754698e+00
2.313975e+06	1.265109e-02	-1.559958e+00
2.586207e+06	7.259509e-03	-8.072340e-01
