# 135kHz_100dA_100Mss_NEdd013
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13422.366441407372
# Fase_campo_=_4.716994325488692
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.424880e+00	-1.652069e+00
4.083485e+05	6.682529e-01	1.216959e+00
6.805808e+05	2.241466e-01	-2.072027e+00
9.528131e+05	9.784451e-02	2.945497e-01
1.225045e+06	5.384411e-02	-2.423609e+00
1.497278e+06	7.647474e-02	-1.459205e-01
1.769510e+06	2.067548e-02	2.787196e+00
2.041742e+06	9.519600e-03	-1.756316e+00
2.313975e+06	5.899449e-03	2.556676e+00
2.586207e+06	1.131502e-02	-1.849945e+00
