# 135kHz_100dA_100Mss_NEdd035
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13474.693323209232
# Fase_campo_=_4.715012509205535
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.788490e+00	-1.673004e+00
4.083485e+05	9.739276e-01	1.165699e+00
6.805808e+05	4.187177e-01	-2.309577e+00
9.528131e+05	2.272963e-01	3.918817e-01
1.225045e+06	1.104432e-01	-2.901888e+00
1.497278e+06	1.226498e-01	-2.641844e-01
1.769510e+06	2.517975e-02	2.382944e+00
2.041742e+06	2.427950e-02	-6.794055e-03
2.313975e+06	2.109650e-02	3.095835e+00
2.586207e+06	1.421215e-02	-1.305358e+00
