# 135kHz_100dA_100Mss_NEdd036
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13498.162471445728
# Fase_campo_=_4.716763437605251
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.814662e+00	-1.674713e+00
4.083485e+05	1.031160e+00	1.150108e+00
6.805808e+05	4.534818e-01	-2.398897e+00
9.528131e+05	2.490625e-01	3.872704e-01
1.225045e+06	1.275089e-01	-2.985325e+00
1.497278e+06	7.294499e-02	-1.714284e-01
1.769510e+06	2.394216e-02	2.095994e+00
2.041742e+06	3.321888e-02	-6.143211e-01
2.313975e+06	6.118711e-03	2.443376e+00
2.586207e+06	1.188074e-02	-5.259975e-01
