# 135kHz_100dA_100Mss_NEdd010
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13429.15401536324
# Fase_campo_=_4.719731226204241
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.378999e+00	-1.651873e+00
4.083485e+05	6.695761e-01	1.223339e+00
6.805808e+05	2.166453e-01	-2.155170e+00
9.528131e+05	9.545745e-02	4.498370e-01
1.225045e+06	4.955889e-02	-2.753422e+00
1.497278e+06	3.234778e-02	1.318618e-01
1.769510e+06	9.072222e-03	1.507277e-01
2.041742e+06	6.056215e-03	-1.935984e+00
2.313975e+06	2.612497e-03	5.037759e-01
2.586207e+06	9.938130e-03	-8.686148e-01
