# 135kHz_100dA_100Mss_NEdd047
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13492.479100370721
# Fase_campo_=_4.716940939801176
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.081432e+00	-1.685757e+00
4.083485e+05	1.041714e+00	1.123178e+00
6.805808e+05	4.383008e-01	-2.382498e+00
9.528131e+05	2.098588e-01	4.577392e-01
1.225045e+06	9.933391e-02	-2.750915e+00
1.497278e+06	8.089018e-02	4.049063e-01
1.769510e+06	3.407701e-02	-2.870106e+00
2.041742e+06	4.205231e-02	2.651501e-01
2.313975e+06	9.588348e-03	-2.822190e+00
2.586207e+06	1.712423e-02	-1.249415e+00
