# 135kHz_100dA_100Mss_NEdd073
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13460.017999885897
# Fase_campo_=_4.713271879681392
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.264342e+00	-1.686272e+00
4.083485e+05	1.042178e+00	1.102240e+00
6.805808e+05	4.503461e-01	-2.317895e+00
9.528131e+05	2.161784e-01	5.126616e-01
1.225045e+06	1.352754e-01	-2.332184e+00
1.497278e+06	1.200693e-01	4.080004e-01
1.769510e+06	5.764272e-02	-2.795699e+00
2.041742e+06	4.325528e-02	1.785839e-01
2.313975e+06	1.976239e-02	-2.792676e+00
2.586207e+06	1.260034e-02	-1.062004e+00
