# 135kHz_100dA_100Mss_NEdd092
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13405.868740305383
# Fase_campo_=_4.714325555529586
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.236442e+00	-1.691661e+00
4.083485e+05	1.115455e+00	1.125243e+00
6.805808e+05	4.996899e-01	-2.298286e+00
9.528131e+05	2.456442e-01	6.187447e-01
1.225045e+06	1.647267e-01	-2.329767e+00
1.497278e+06	1.383308e-01	6.676822e-01
1.769510e+06	8.907689e-02	-2.847483e+00
2.041742e+06	5.710595e-02	1.758590e-01
2.313975e+06	2.997115e-02	-2.315368e+00
2.586207e+06	1.274304e-02	-8.641258e-01
