# 135kHz_100dA_100Mss_NEdd004
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13401.959343620085
# Fase_campo_=_4.7150342445048805
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.396502e+00	-1.665807e+00
4.083485e+05	6.520094e-01	1.142434e+00
6.805808e+05	1.817092e-01	-2.246296e+00
9.528131e+05	9.527772e-02	1.085980e-01
1.225045e+06	4.622348e-02	-2.633269e+00
1.497278e+06	4.595044e-02	-2.929802e-01
1.769510e+06	1.759544e-02	1.240066e+00
2.041742e+06	9.702657e-03	-2.976251e-01
2.313975e+06	6.524685e-03	-1.394334e+00
2.586207e+06	1.148915e-02	-2.337804e+00
