# 135kHz_100dA_100Mss_NEdd019
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13425.205451209307
# Fase_campo_=_4.719358810783211
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.470163e+00	-1.641164e+00
4.083485e+05	6.554537e-01	1.224089e+00
6.805808e+05	2.228534e-01	-2.097418e+00
9.528131e+05	1.059311e-01	4.584195e-01
1.225045e+06	4.119746e-02	-2.135292e+00
1.497278e+06	1.011541e-01	1.742098e-01
1.769510e+06	3.065374e-02	2.797988e+00
2.041742e+06	9.489747e-03	-2.801903e+00
2.313975e+06	5.926248e-03	2.095951e+00
2.586207e+06	1.226054e-02	5.351740e-01
