# 135kHz_100dA_100Mss_NEdd025
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13484.339080319161
# Fase_campo_=_4.716107436733035
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.488277e+00	-1.644981e+00
4.083485e+05	6.478439e-01	1.248911e+00
6.805808e+05	1.995412e-01	-2.100927e+00
9.528131e+05	1.106228e-01	4.900265e-01
1.225045e+06	4.923854e-02	-2.541459e+00
1.497278e+06	5.973490e-02	3.950280e-01
1.769510e+06	1.424757e-02	2.554301e+00
2.041742e+06	1.297386e-02	-1.000593e+00
2.313975e+06	1.994791e-03	-1.414852e-01
2.586207e+06	6.077916e-03	-8.878343e-01
