# 135kHz_100dA_100Mss_NEdd076
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13506.174727124566
# Fase_campo_=_4.718784053523903
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.337216e+00	-1.681228e+00
4.083485e+05	1.070449e+00	1.116724e+00
6.805808e+05	4.654554e-01	-2.287819e+00
9.528131e+05	2.452138e-01	6.204626e-01
1.225045e+06	1.200599e-01	-2.332227e+00
1.497278e+06	1.683497e-01	6.700972e-01
1.769510e+06	6.585909e-02	-2.646684e+00
2.041742e+06	4.920877e-02	-7.363312e-02
2.313975e+06	2.969366e-02	-2.962324e+00
2.586207e+06	2.070030e-02	3.047061e-01
