# 135kHz_100dA_100Mss_NEdd091
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13451.258832501215
# Fase_campo_=_4.716671259872736
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.242825e+00	-1.689968e+00
4.083485e+05	1.104775e+00	1.132217e+00
6.805808e+05	4.950919e-01	-2.273616e+00
9.528131e+05	2.326093e-01	6.101850e-01
1.225045e+06	1.562315e-01	-2.297941e+00
1.497278e+06	1.233369e-01	4.949204e-01
1.769510e+06	7.542503e-02	-2.646471e+00
2.041742e+06	5.423368e-02	9.674412e-02
2.313975e+06	3.294220e-02	-2.863700e+00
2.586207e+06	1.541472e-02	-4.848554e-01
