# 135kHz_100dA_100Mss_NEdd068
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13461.972463491762
# Fase_campo_=_4.714727068780002
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.261642e+00	-1.689640e+00
4.083485e+05	1.058675e+00	1.107660e+00
6.805808e+05	4.560176e-01	-2.317645e+00
9.528131e+05	2.281493e-01	5.415437e-01
1.225045e+06	1.251668e-01	-2.337950e+00
1.497278e+06	1.261182e-01	6.672605e-01
1.769510e+06	5.892834e-02	-2.839926e+00
2.041742e+06	4.221545e-02	1.110594e-01
2.313975e+06	2.740015e-02	-2.670684e+00
2.586207e+06	1.471320e-02	-2.325782e-01
