# 135kHz_100dA_100Mss_NEdd058
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13429.329778384605
# Fase_campo_=_4.715793125303072
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.263269e+00	-1.686514e+00
4.083485e+05	1.054087e+00	1.104799e+00
6.805808e+05	4.492386e-01	-2.327705e+00
9.528131e+05	2.262024e-01	4.242807e-01
1.225045e+06	1.134372e-01	-2.285044e+00
1.497278e+06	1.268693e-01	4.295058e-01
1.769510e+06	5.556696e-02	-2.843713e+00
2.041742e+06	4.411110e-02	2.219232e-01
2.313975e+06	2.944611e-02	-3.087280e+00
2.586207e+06	1.764670e-02	-6.851490e-01
