# 135kHz_100dA_100Mss_NEdd011
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13418.214843531572
# Fase_campo_=_4.714135103664809
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.413170e+00	-1.656036e+00
4.083485e+05	6.705706e-01	1.195160e+00
6.805808e+05	2.113121e-01	-2.193217e+00
9.528131e+05	1.015492e-01	3.579689e-01
1.225045e+06	4.274030e-02	-2.346519e+00
1.497278e+06	5.540654e-02	-2.591683e-02
1.769510e+06	1.170868e-02	1.591932e+00
2.041742e+06	4.167267e-03	3.010077e+00
2.313975e+06	1.052496e-02	2.178883e+00
2.586207e+06	3.167105e-03	-2.204753e+00
