# 135kHz_100dA_100Mss_NEdd030
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13457.001171247008
# Fase_campo_=_4.717857192229497
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.573143e+00	-1.657987e+00
4.083485e+05	7.111451e-01	1.245359e+00
6.805808e+05	2.453817e-01	-2.137297e+00
9.528131e+05	1.220936e-01	6.100286e-01
1.225045e+06	6.266524e-02	-2.444259e+00
1.497278e+06	5.211673e-02	1.691134e-01
1.769510e+06	1.427548e-02	1.941916e+00
2.041742e+06	2.032657e-02	-5.671418e-01
2.313975e+06	1.103953e-02	3.098614e+00
2.586207e+06	9.803587e-03	-2.216202e+00
