# 135kHz_100dA_100Mss_NEdd084
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13447.5842041103
# Fase_campo_=_4.719718244137481
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.299890e+00	-1.686097e+00
4.083485e+05	1.091022e+00	1.131393e+00
6.805808e+05	4.851453e-01	-2.281359e+00
9.528131e+05	2.398438e-01	6.242085e-01
1.225045e+06	1.461096e-01	-2.196716e+00
1.497278e+06	1.654254e-01	4.438638e-01
1.769510e+06	7.783969e-02	-2.789529e+00
2.041742e+06	4.275570e-02	3.660341e-01
2.313975e+06	2.714408e-02	-2.917703e+00
2.586207e+06	1.838147e-02	-3.449418e-01
