# 135kHz_100dA_100Mss_NEdd005
# Frecuencia_campo_Hz_=_136085.28010886823
# Magnitud_campo_Hz_=_13395.270029857855
# Fase_campo_=_4.716975259849157
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.360853e+05	2.396795e+00	-1.662691e+00
4.082558e+05	6.548968e-01	1.158655e+00
6.804264e+05	1.979391e-01	-2.257140e+00
9.525970e+05	8.296340e-02	1.789000e-01
1.224768e+06	2.802424e-02	-2.614818e+00
1.496938e+06	7.907533e-02	-4.301091e-02
1.769109e+06	1.236725e-02	1.605164e+00
2.041279e+06	1.061552e-02	2.334369e+00
2.313450e+06	1.292524e-02	-1.093758e+00
2.585620e+06	5.380585e-03	-7.389136e-02
