# 135kHz_100dA_100Mss_NEdd093
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13476.175066031436
# Fase_campo_=_4.718411802812677
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.231631e+00	-1.685006e+00
4.083485e+05	1.117697e+00	1.138938e+00
6.805808e+05	5.039943e-01	-2.283265e+00
9.528131e+05	2.436765e-01	5.891683e-01
1.225045e+06	1.578468e-01	-2.290638e+00
1.497278e+06	1.513823e-01	3.859562e-01
1.769510e+06	7.029737e-02	-2.770281e+00
2.041742e+06	6.043971e-02	3.326198e-01
2.313975e+06	2.746640e-02	-2.834626e+00
2.586207e+06	2.310822e-02	-2.082413e-01
