# 135kHz_100dA_100Mss_NEdd016
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13385.273313188736
# Fase_campo_=_4.717952258850231
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.455972e+00	-1.643177e+00
4.083485e+05	6.528172e-01	1.231797e+00
6.805808e+05	2.229615e-01	-2.079994e+00
9.528131e+05	1.056437e-01	4.299730e-01
1.225045e+06	5.002384e-02	-2.534919e+00
1.497278e+06	4.731314e-02	3.085944e-01
1.769510e+06	2.207664e-02	2.794213e+00
2.041742e+06	5.625541e-03	3.069398e+00
2.313975e+06	9.231556e-03	-2.702561e+00
2.586207e+06	3.305433e-03	9.455671e-01
