# 135kHz_100dA_100Mss_NEdd081
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13403.316656508636
# Fase_campo_=_4.7170918799658486
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	3.382912e+00	-1.685522e+00
4.083485e+05	1.071715e+00	1.120055e+00
6.805808e+05	4.853747e-01	-2.294172e+00
9.528131e+05	2.389644e-01	5.856434e-01
1.225045e+06	1.402660e-01	-2.236705e+00
1.497278e+06	1.602137e-01	3.536523e-01
1.769510e+06	6.766159e-02	-2.829594e+00
2.041742e+06	3.376266e-02	-1.272650e-01
2.313975e+06	2.434850e-02	-2.854348e+00
2.586207e+06	2.456435e-02	-2.338450e-01
