# 135kHz_100dA_100Mss_NEdd012
# Frecuencia_campo_Hz_=_136116.15245009074
# Magnitud_campo_Hz_=_13470.993517775314
# Fase_campo_=_4.7148175436520745
# Concentracion g/m^3_=_7400.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0

Frecuencia_Hz	Amplitud	Fase
1.361162e+05	2.420441e+00	-1.653544e+00
4.083485e+05	6.692056e-01	1.198157e+00
6.805808e+05	2.244171e-01	-2.110116e+00
9.528131e+05	8.989957e-02	3.912558e-01
1.225045e+06	5.619242e-02	-2.561943e+00
1.497278e+06	2.804235e-02	7.669155e-01
1.769510e+06	1.269813e-02	2.178513e+00
2.041742e+06	8.335936e-03	-1.834474e+00
2.313975e+06	9.011891e-03	2.040738e+00
2.586207e+06	2.371151e-03	5.728649e-01
